mun.id,weapon.sys,name,cep (m),warhead (lbs),range (km),cost ($K),reliability,avail.qty
MGM-168,MLRS,ATACMS Block IVA,3,500,300,820,0.92,96
ZMGM-168B,MLRS,Improved ATACM Block IVA,3,250,500,1300,0.98,96
GBU-10,F-15E,Paveway II,9,2000,0,23.7,0.95,Inf
GBU-39,F-15E,SDB-I,7,250,0,40,0.95,Inf
AGM-158A,F-15E,JASSM,3,952,370,830,0.98,330
AGM-158B,F-15E,JASSM-ER,3,952,1000,1280,0.98,94
RGM-109C-2,CCM,TLAM-C Block II,12.2,1000,1111.2,500,0.85,Inf
RGM-109C-3,CCM,TLAM-C Block III,4.6,1000,1111.2,1000,0.9,Inf
RGM-84E,CCM,SLAM,6.7,500,111.12,475,0.8,Inf
RGM-84H,CCM,SLAM-ER,6.7,500,277.8,575,0.9,Inf
